Ourcontigname,MM.darkorange
contig109698,NA
contig109699,NA
contig109700,NA
contig109704,NA
contig109714_14178,NA
contig109720,NA
contig109722_70126_106581_205917,NA
contig109724,NA
contig109726,NA
contig109727,NA
contig10973_168027,NA
contig109741,NA
contig109742,NA
contig109753,NA
contig109754,NA
contig109756_113322,NA
contig109759,NA
contig109761,NA
contig109768,NA
contig109776,NA
contig109811_163735_108459,NA
contig10983,NA
contig109835,NA
contig109845_78449,NA
contig109865,NA
contig109874,NA
contig109875,NA
contig109884,NA
contig109891,NA
contig109899,NA
contig109921,NA
contig109926,NA
contig109931_171953,NA
contig109933_98341_144777,NA
contig109940,NA
contig109941_113707,NA
contig109958_105816,NA
contig109961,NA
contig109966,NA
contig109972_116895_114011,NA
contig109974_219142_52210_56334_186105,NA
contig109986_70381_104862,NA
contig109990,NA
contig109991,NA
contig110005,NA
contig110011,NA
contig110014,NA
contig110017,NA
contig110019,NA
contig110030,NA
contig110042_147189,NA
contig110044_115785_154145_78835_126104_71560_93535,NA
contig110045,NA
contig110046,NA
contig110064_146741,NA
contig110071,NA
contig110075,NA
contig110084,NA
contig110089_143538_219042,NA
contig110099,NA
contig110102,NA
contig110117,NA
contig110118_169635,NA
contig110119,NA
contig110121,NA
contig110122,NA
contig110138,NA
contig11014,NA
contig110145,NA
contig11015_204009,NA
contig110151_600232_208240_177858_3926,NA
contig110155,NA
contig110159,NA
contig110161,NA
contig110172,NA
contig110184_182221_2856,NA
contig110188,NA
contig110194,NA
contig110195,NA
contig110206,NA
contig110209,NA
contig110212,NA
contig110222,NA
contig110241,NA
contig110245,NA
contig110246,NA
contig110257,NA
contig110285,NA
contig110290,NA
contig110291_157459_12994,NA
contig110298,NA
contig110301,NA
contig110305,NA
contig110307,NA
contig110316_17551_192682_127216,NA
contig110320_22629,NA
contig110324,NA
contig110327_18505,NA
contig110333,NA
contig110350,NA
contig110354,NA
contig110356,NA
contig110359_154408_178388,NA
contig110361,NA
contig11038_202061,NA
contig110381_168039,NA
contig110389,NA
contig110391,NA
contig110408,NA
contig110410_184557_147700_202559_176745,NA
contig110413,NA
contig110420,NA
contig110423_139014_177217_176423,NA
contig110428,NA
contig110434_116476,NA
contig110441_212711,NA
contig110451,NA
contig110454,NA
contig110460_21118,NA
contig110464,NA
contig110478,NA
contig110484,NA
contig110485_175619,NA
contig110486,NA
contig110488_111922,NA
contig110500_179971,NA
contig110501,NA
contig110510,NA
contig110514,NA
contig110520,NA
contig110521,NA
contig110522,NA
contig110542,NA
contig110561,NA
contig110572_209947_143872_158851_147247,NA
contig110597,NA
contig11062,NA
contig110627,NA
contig110642,NA
contig110645_118136,NA
contig110646,NA
contig110653_75183,NA
contig110665,NA
contig110666,NA
contig110669_171390,NA
contig110677,NA
contig110693,NA
contig110703,NA
contig110706,NA
contig110707,NA
contig110709,NA
contig110710,NA
contig110712,NA
contig110725_68840,NA
contig110730_196658,NA
contig110731,NA
contig110737,NA
contig110742,NA
contig110751,NA
contig110754,NA
contig110757,NA
contig110760,NA
contig110762_169357,NA
contig110767,NA
contig110775,NA
contig110797,NA
contig110798,NA
contig110810,NA
contig110814_147572_149384_176199,NA
contig110829_60877_93660,NA
contig110833_170394,NA
contig110838_167721_218723_110836_26469,NA
contig110845,NA
contig110849,NA
contig110861,NA
contig110869,NA
contig110873,NA
contig110886,0.741005549275248
contig110941,NA
contig110947,NA
contig110951,NA
contig110958,NA
contig110978,NA
contig110987,NA
contig110991,NA
contig110996,NA
contig111002,NA
contig111003,NA
contig111006,NA
contig111029,NA
contig111046,NA
contig111068,NA
contig111078_179790,NA
contig111108,NA
contig111109,NA
contig111115_117220,NA
contig111118,NA
contig111130,NA
contig111135_171109,NA
contig111136,NA
contig111137_104416_178298,NA
contig111151,NA
contig111154_205518,NA
contig111163_150875,NA
contig111167_157715_6329,NA
contig111168,NA
contig111178_149524,NA
contig111182,NA
contig111194,NA
contig111213,NA
contig111231,NA
contig111232,NA
contig111238_205222,NA
contig111243_16560,NA
contig111246,NA
contig111249,NA
contig111259,NA
contig111260,NA
contig111292,NA
contig111299,NA
contig111317,NA
contig111320_119999,NA
contig111329,NA
contig111343,NA
contig111346,NA
contig111350_75459_213656,NA
contig111353_15879_150978_146840,NA
contig111358,NA
contig111366,NA
contig111388,NA
contig111394_15776_47963,NA
contig111397,NA
contig111419,NA
contig111423_98739,NA
contig111427,NA
contig111440,NA
contig11145_117850,NA
contig111453,NA
contig111465_139021,NA
contig111468,NA
contig111472,NA
contig111473,NA
contig111474,NA
contig111484_179915,NA
contig111491_114742,NA
contig111495_153161,NA
contig111499_148267,NA
contig111501,NA
contig111510,NA
contig111511,NA
contig111520,NA
contig111523,NA
contig111529_105910,NA
contig111531,NA
contig111540,NA
contig111558,NA
contig111569,NA
contig111570,NA
contig111573_214971,NA
contig111580_105597,NA
contig111581,NA
contig111586_80110,NA
contig111589,NA
contig111601,NA
contig111607,NA
contig11161,NA
contig111611,NA
contig111617,NA
contig111626_132015_72653,NA
contig111642,NA
contig111644_179608,NA
contig111648,NA
contig111666,NA
contig111678_83418_77108_24690,NA
contig111679,NA
contig111683,NA
contig111692,NA
contig111703,NA
contig111708_203487_119833,NA
contig111713,NA
contig111715,NA
contig111720,NA
contig111724,NA
contig111725_108606,NA
contig111726_150318,NA
contig111743_16733,NA
contig111746,NA
contig111747,NA
contig111750,NA
contig111753,NA
contig111763,NA
contig111764_69995,NA
contig111766,NA
contig111772,NA
contig111777,NA
contig111795,NA
contig111799,NA
contig111801,NA
contig111802,NA
contig111812,NA
contig111815_72313,NA
contig111827_78794,NA
contig111848_179409,NA
contig111853,NA
contig111859,NA
contig111874,NA
contig111877,NA
contig111880,NA
contig111889_204966_104774_111080,NA
contig111895,NA
contig111898,NA
contig111902,0.851778369790411
contig111914,NA
contig111939,0.697207639745529
contig111945,NA
contig111946_93766,NA
contig111947,NA
contig111956,NA
contig111958_211725,NA
contig111961,NA
