"logFC","logCPM","F","PValue","FDR"
"contig157823_206050_25964_212918",3.45430904170976,7.77910840228556,73.3300615367818,4.74688669896569e-10,1.13842398626464e-07
"contig176605",4.8163650789849,5.13847323633283,71.8670426263859,6.02478099862363e-10,1.4223190016907e-07
"contig72895",3.57476895391715,7.43295935500788,71.678908596112,6.21383860299483e-10,1.44438288388691e-07
"contig210251",2.23783219086726,8.8018991996308,71.505534450935,6.39362834307532e-10,1.46365652478068e-07
"contig96924_203695_177534",2.17073410497318,7.8342775892946,71.2428459131829,6.6766041349375e-10,1.5056240578324e-07
"contig151689",2.35164971738183,9.02738559917611,70.9258832309007,7.03579751797188e-10,1.56329212792702e-07
"contig114296",2.70292939911049,6.82841244331594,70.7257580274374,7.27307603368257e-10,1.59259283757841e-07
"contig150711_103964",-2.96228716980745,8.68478898322685,70.4041155194245,7.67234660030089e-10,1.65602121119923e-07
"contig73062",2.52427419876253,9.35155247347949,69.77335507489,8.52424598820832e-10,1.81398355825126e-07
"contig130127_25831_103880_106695",2.16850385113111,8.60591911451818,69.0520643066417,9.62262963963794e-10,2.00490626569353e-07
"contig187078",8.2265928381483,7.35092233052158,72.3021758558247,9.68681960392004e-10,2.00490626569353e-07
"contig205787",2.65341377102133,8.87375547208244,68.5343238639382,1.05028719139315e-09,2.14443096956205e-07
"contig181491",8.41839248586811,6.28802068494371,70.4454858956517,1.12062954685967e-09,2.25754557646704e-07
"contig52948_182462",-2.39286616568515,8.56448147301384,67.9856189091917,1.15294649567241e-09,2.292087974094e-07
"contig75607_169164_74746",3.17288966021644,9.59583079839904,67.2350467406776,1.31090205274587e-09,2.57226222271914e-07
"contig79663",4.16953929156529,10.9087238904763,67.5201421763264,1.33659806384245e-09,2.58905899315328e-07
"contig151781",2.63548330690139,8.62805578010214,66.8591021986031,1.39848466081177e-09,2.67464616964621e-07
"contig176089_153680_176399",3.52510449365624,9.49409217965673,66.1620084478529,1.57768866732308e-09,2.97966225932305e-07
"contig153015",3.93770200596812,8.66986719445043,65.4780472974618,1.77729487901428e-09,3.3152034971638e-07
"contig204452",2.41310852985882,6.62939745868518,65.3990342314892,1.80202039089867e-09,3.32033244952293e-07
"contig167229",-3.47629822966325,5.960405780967,64.8848301637371,1.97209075685727e-09,3.58991798136826e-07
"contig150452_81742_180562",2.36116260743299,8.09896225569179,64.1346145000678,2.25135576930409e-09,4.03670188255319e-07
"contig96903",2.19489457297118,7.70071079003902,64.0791210350868,2.27361234490555e-09,4.03670188255319e-07
"contig173344",2.67943377970038,5.09178184262857,64.0197570833429,2.2976792765873e-09,4.03670188255319e-07
"contig182044",2.64867762657563,9.52981103132915,63.9144356835994,2.34104398427930e-09,4.06561305269838e-07
"contig176237",2.34424256083512,7.17660411814475,63.3537360493476,2.5869554367403e-09,4.44162610155786e-07
"contig147785_111657_104575_74373",2.07232802605444,8.16696121280557,63.2892831020725,2.61692766848144e-09,4.44260226326809e-07
"contig153221",-2.58019106913525,7.68504854858932,63.2201828167086,2.64946969900048e-09,4.44787085357758e-07
"contig203839",2.96792283995321,11.799854745061,63.132486868098,2.69138710871833e-09,4.46059882071951e-07
"contig145094",-3.17706386601481,5.32947207716281,63.0814657588571,2.71609697204445e-09,4.46059882071951e-07
"contig169305_25559_207989",2.11504637370317,9.41245237096096,62.7485688375387,2.88333189706327e-09,4.68432920782031e-07
"contig80984_4320",-6.20086373929189,4.13199174565814,62.4927194769227,3.01925593328105e-09,4.85297211658971e-07
"contig111962",3.10171297437531,7.48960616843888,61.3275769891139,3.72985667839941e-09,5.90168521780423e-07
"contig64802",3.60873627379393,10.7645864747923,61.2983222829235,3.74982977635321e-09,5.90168521780423e-07
"contig77727",3.99947748704967,7.65794111022443,61.2047912859833,3.81444944188014e-09,5.94149655849145e-07
"contig188903_205952",3.5785459049191,9.16070388602881,60.6014565834816,4.26065769312664e-09,6.56880378422964e-07
"contig151493",4.48727950717439,4.50470120686574,60.3985390108795,4.42288360305293e-09,6.71790415779739e-07
"contig17754_147885",-6.88062685040124,3.20942379589824,60.3699095847962,4.44629304242332e-09,6.71790415779739e-07
"contig176405_179494_181052",2.85088441820439,9.94031477154649,60.2839542238726,4.51736754998738e-09,6.7577134963128e-07
"contig77862_150672",2.75637566358164,9.25471028846779,60.0392335625266,4.7263864536455e-09,6.93888579798269e-07
"contig182396",2.7812744627051,5.85825316820713,59.9975148137291,4.76302869521126e-09,6.93888579798269e-07
"contig147650",2.3303533230846,8.22189356593437,59.9813722688321,4.77728752937677e-09,6.93888579798269e-07
"contig12444_82328",2.19648343906247,5.97351608920845,59.9308814412524,4.82217889197288e-09,6.93888579798269e-07
"contig169354",2.55906954056433,8.08684507738483,59.8778431993214,4.86981638672604e-09,6.94132601764563e-07
"contig78207",2.1908140819353,7.50719826305225,59.0480224862915,5.68368611202888e-09,7.99636043864313e-07
"contig145126",1.52281087799629,9.39513747819839,58.9970490676872,5.73816152259617e-09,7.99636043864313e-07
"contig97352_151359_175689",2.64155281734611,7.8259616557917,58.9686336104482,5.76876886499504e-09,7.99636043864313e-07
"contig177573_174738_205250",2.56257677182001,8.22872944076329,58.7198223693542,6.04427152306942e-09,8.30208167655053e-07
"contig148578_170429",-5.84277256468583,7.74465862548796,60.4882941720698,6.16661535785509e-09,8.39381904881375e-07
"contig148408",2.019604517181,11.3645524078886,58.4863273637137,6.31550427416724e-09,8.50257795034357e-07
"contig208269",3.57226619395187,6.89837145074438,58.4498178354089,6.35906617505344e-09,8.50257795034357e-07
"contig81458",3.34567297158297,8.56226087713011,57.9297710915082,7.01531949002924e-09,9.25622159976412e-07
"contig196008_74613_169873",2.0741886684729,8.28089338762419,57.9073024790233,7.04524114086222e-09,9.25622159976412e-07
"contig167812_219222",1.60929986435765,9.84914968630925,57.7706751766562,7.23012160563956e-09,9.39814390525972e-07
"contig205347_218409",2.12800330888969,8.798112658315,57.7361358947189,7.27766785965575e-09,9.39814390525972e-07
"contig174339",1.75456032929767,11.164702227648,57.5694198440329,7.51186675715461e-09,9.61837244354652e-07
"contig8636_72006_6237_93214",1.89611648833943,7.29581228190143,57.4939136342471,7.62054885598909e-09,9.67553551807892e-07
"contig107125",2.59816202786423,6.25688011970915,57.3060805396039,7.89819679395355e-09,9.94448794665368e-07
"contig168150",3.15635745422912,8.88366416585392,57.2148586686659,8.03688216100992e-09,1.0035475419066e-06
"contig150936_82133",1.90071039052645,6.39358130074811,57.0056201268361,8.36481948560739e-09,1.0244236658477e-06
"contig107904_151594",3.94036436354352,8.28452222443969,57.0001364029818,8.39358026358536e-09,1.0244236658477e-06
"contig146766",2.06139590950441,8.00693144786285,56.97904418147,8.40747465517998e-09,1.0244236658477e-06
"contig81437",3.77493505904525,4.52276452295475,56.9227802924573,8.4985414171448e-09,1.02723569817313e-06
"contig58086",1.68602533105838,8.33517193402454,56.7548332441814,8.77663877696274e-09,1.05243043873913e-06
"contig172112_149440",-4.29874406132719,4.07877728160341,56.3317254199927,9.52083244059784e-09,1.13267919169286e-06
"contig174401",2.32536328898934,7.86074319899245,56.2163417447264,9.73516814659868e-09,1.14913012130437e-06
"contig25792_177711",2.42890142641631,5.60545711751509,56.1400959738151,9.87960018618818e-09,1.1571385985513e-06
"contig147894",-4.54041770255273,8.84481169188338,56.8677505137487,1.04133465452513e-08,1.2102711765554e-06
"contig211242_82211_151261",-4.08542070745131,5.18958156711357,55.5888806954308,1.09936821324773e-08,1.26371721111415e-06
"contig145830_152934_69049_75651",2.26661848239515,10.9179981257644,55.5585798216995,1.10586593921202e-08,1.26371721111415e-06
"contig145419",2.44433433906194,8.43377827396944,55.5088076788189,1.1166274776462e-08,1.26371721111415e-06
"contig96588",-4.57593682266962,5.36860495171145,55.4861210086373,1.12156943102535e-08,1.26371721111415e-06
"contig68882",-3.65204347455618,6.35654642886736,55.4515699214256,1.12914040307373e-08,1.26371721111415e-06
"contig151348",5.77274833041763,4.85419827258185,55.4625595583295,1.14280885554112e-08,1.26961022046844e-06
"contig147841_218745",3.34240378082975,13.9368943787312,55.3200049549384,1.22514226946959e-08,1.34323263806764e-06
"contig162157_183588",2.47191477882471,8.86061449889901,55.0264244539126,1.22685885269267e-08,1.34323263806764e-06
"contig23704",3.57704890247441,6.57755545593844,54.3857992317032,1.39137536421288e-08,1.51239499121528e-06
"contig97434_110103_5055_73339",-2.69906069503363,5.37325943098683,54.2448682836564,1.43060899064489e-08,1.54393365997526e-06
"contig186767",3.9090908513173,6.13768706635888,54.1096653445168,1.46935005263476e-08,1.57078084611219e-06
"contig177051",2.33891305860255,8.57534756450377,54.0858847049017,1.47627824573387e-08,1.57078084611219e-06
